0108765686,Reza,Jl. Cipinang Elok 1,A1,2023-04-18 10:33:43,037556475633,022396877822,,11
0101345678,Dio,Jl. Priuk Selatan,A1|B2,2023-04-18 10:33:43,022854737273,018576675543,,12
0101458132,Yadi,Jl. Kebangsaan Pluto,A2|B3,2023-04-18 10:33:43,099385766754,093349596995,,24
0104837547,Kevin,Jl. Mars Raya,A1|A2,2023-04-18 10:33:43,002938857666,092285564321,,25
0101591827,Ibnu,Jl. Kebanggaan Ibu,A1|A2|A3,2023-04-18 10:33:43,012344556978,028857667665,,55
0101038463,Matrix,Jl. Raya Sederhana,A1|B1|B2,2023-04-18 10:33:43,012986767566,028867667543,,33
0101688754,Yayan,Jl. Selaka Bungkis,B1|B2,2023-04-18 10:33:43,002857665465,019944129394,,12
0101985543,Qindi,Jl. Parindapan Tua,B3,2023-04-18 10:33:43,002385767271,039184856864,,24
0101993765,Jano,Jl. Bulan Purnama,A1|B3,2023-04-18 10:33:43,049668784336,054544531202,,36
0101112334,Tama,Jl. Jaksel Abis,A1|B2|B3,2023-04-18 10:33:43,075631230696,039938475567,,17
