Alex,alewxs@gmail.com,14,2022-03-16,1,B,3,6,Jl. Pramuka Raya,002,010,13420,31275032306980556,1,,Reza,Jl. Cipinang Elok 1,A1,2023-04-18 10:33:43,0375564752633,0223968717822,,11
Matrix,mawtrixs@gmail.com,16,1998-03-18,1,B,104,4,Jl. Kebagusan Selatan,003,007,16161,31750332306980432,0,,Dio,Jl. Priuk Selatan,A1|B2,2023-04-18 10:33:43,0228541737273,0185726675543,,12
Goldy,golwdys@gmail.com,11,2022-03-17,1,AB,5,3,Jl. Cipinang Elok 1,22,23,13420,31750323063980887,1,,Yadi,Jl. Kebangsaan Pluto,A2|B3,2023-04-18 10:33:43,0993857663754,0933439596995,,24
Leonardo,leownardos@gmail.com,14,2022-03-16,1,B,3,6,Jl. Budi Daya Raya,002,010,13420,31753032306980000,1,,Kevin,Jl. Mars Raya,A1|A2,2023-04-18 10:33:43,0029388574666,0922845564321,,25
Henry,henwrys@gmail.com,16,1998-03-18,1,B,104,4,Jl. Pintu Belakang,003,007,16161,31750323306980654,0,,Ibnu,Jl. Kebanggaan Ibu,A1|A2|A3,2023-04-18 10:33:43,0123444556978,0288457667665,,55
Sonia,sonwias@gmail.com,11,2022-03-17,1,AB,5,3,Jl. Sinar Surya,22,23,13420,31750323069830567,1,,Matrix,Jl. Raya Sederhana,A1|B1|B2,2023-04-18 10:33:43,0129867647566,0288674667543,,33
Abel,abewls@gmail.com,14,2022-03-16,1,B,3,6,Jl. Keabadian Raya,002,010,13420,31750323069380111,1,,Yayan,Jl. Selaka Bungkis,B1|B2,2023-04-18 10:33:43,0028576654465,0199444129394,,12
Derryl,dewrryls@gmail.com,16,1998-03-18,1,B,104,4,Jl. Puja Pahlawan,003,007,16161,31750323306980198,0,,Qindi,Jl. Parindapan Tua,B3,2023-04-18 10:33:43,0023857647271,0391844856864,,24
Apri,aprwis@gmail.com,11,2022-03-17,1,AB,5,3,Jl. Tanah Abang Barat,22,23,13420,31750323063980907,1,,Jano,Jl. Bulan Purnama,A1|B3,2023-04-18 10:33:43,0496687844336,0544544531202,,36
Yudha,yudwhas@gmail.com,11,2022-03-17,1,AB,5,3,Jl. Kemanggisan Utara,22,23,13420,31750323036980541,1,,Tama,Jl. Jaksel Abis,A1|B2|B3,2023-04-18 10:33:43,0756431230696,0394938475567,,17
